Period of const,Total occupied private dwellings,  Single-detached house,  Apartment: five or more storeys,  Movable dwelling (37),  Other dwelling (38)
Total occupied private dwellings,2357105,1032230,115980,17150,1191740
  1945 or before,,,,,
    1920 or before,223630,103055,1775,75,118720
    1921 - 1945,280685,85575,3680,80,189525
  1946 - 1970,,,,,
    1946 - 1960,506720,201540,11375,370,293430
    1961 - 1970,469880,198765,31570,1585,237965
  1971 - 1985,,,,,
    1971 - 1975,337790,159365,27705,7065,143660
    1976 - 1980,309455,171025,25030,6130,107270
    1981 - 1985,212805,104365,14335,1750,92355
  1986 or after,,,,,
    1986 - 1990,,,,,
    1986 (1),15965,6535,515,110,8810
