Period of const,Total occupied private dwellings,  Single-detached house,"  Apartment: five or more storeys",  Movable dwelling (37),  Other dwelling (38)
Total occupied private dwellings,2634300,1174795,137120,24605,1297785
  1945 or before,474795,184310,6020,180,284285
    1920 or before,204285,96875,1680,70,105660
    1921 - 1945,270510,87435,4340,110,178620
  1946 - 1970,994930,402970,47635,2505,541815
    1946 - 1960,495950,196440,11785,385,287345
    1961 - 1970,498975,206530,35855,2130,254470
  1971 - 1985,825455,430270,60460,19410,315320
    1971 - 1980,600180,321925,44755,16970,216530
    1981 - 1985,225270,108345,15700,2440,98785
  1986 or after,339125,157245,23005,2505,156370
    1986 - 1990,328310,152450,22360,2330,151170
    1991 (1),10820,4795,650,180,5200
