Period of Const,Total - Structural type of dwelling,  Single-detached house,"  Apartment: five or more storeys",  Movable dwelling,  Other dwelling
Total - Period of construction,2822030,1272605,144780,19350,1385300
  1945 or before,458200,179220,6020,105,272865
    1920 or before,200470,96770,2125,30,101540
    1921-1945,257735,82440,3895,70,171325
  1946-1970,1015760,408125,45600,2310,559725
    1946-1960,522165,204805,11870,265,305220
    1961-1970,493595,203315,33735,2040,254505
  1971-1985,836495,434960,63695,14005,323830
    1971-1980,604805,324355,46295,11965,222185
    1981-1985,231690,110600,17400,2040,101645
  1986 or after,511570,250305,29455,2935,228880
    1986-1990,298410,145360,22255,1695,129090
    1991-1995,208485,102520,7095,1195,97670
    1996(1),4675,2420,100,35,2115
