Period of const,Total - Structural type of dwelling,  Single-detached house,"  Apartment: building that has five or more storeys",  Movable dwelling,  Other dwelling,    Semi-detached house,    Row house,"    Apartment, duplex","    Apartment, building that has fewer than five storeys",    Other single-attached house
Total - Period of construction,3189345,1458400,161655,21545,1547740,156200,76465,254335,1045455,15280
  1920 or before,210025,95160,2900,310,111660,8275,4620,25040,70720,3010
  1921 to 1945,230575,73465,5095,290,151725,8485,2855,39685,98460,2240
  1946 to 1960,538440,211040,13165,790,313445,19030,4815,85160,200735,3700
  1961 to 1970,494995,201390,32705,1800,259100,13485,7670,47595,188350,2000
  1971 to 1980,610930,324100,40260,11215,235355,30610,16390,24020,162710,1620
  1981 to 1985,255855,114545,18890,2220,120190,16365,7055,8050,88130,590
  1986 to 1990,276260,142035,19440,1885,112905,14945,7430,7465,82465,600
  1991 to 1995,213405,104480,8770,1290,98875,20010,12415,5730,60155,560
  1996 to 2000,142945,78660,4950,760,58570,11865,6845,4525,34935,405
  2001 to 2006,215900,113525,15475,990,85915,13135,6370,7060,58800,550
