Period of const,Total - Structural type of dwelling,  Single-detached house,"  Apartment, building that has five or more storeys",  Movable dwelling,  Other dwelling,    Semi-detached house,    Row house,"    Apartment, duplex","    Apartment, building that has fewer than five storeys",    Other single-attached house
Total - Period of construction,3395220,1560350,169350,22875,1642645,175805,85920,262440,1103580,14910
  1920 or before,213270,96820,2860,170,113425,8530,4855,25830,71395,2820
  1921 to 1945,215635,69650,4265,125,141595,7995,2415,37570,91285,2325
  1946 to 1960,517985,207310,13190,670,296825,18770,4920,83405,186320,3405
  1961 to 1970,507745,202335,34580,2060,268775,13845,8155,48720,195845,2210
  1971 to 1980,607710,323640,35340,11750,236980,31040,16220,26000,162315,1405
  1981 to 1990,533790,256675,34115,4335,238665,32125,14760,16060,174575,1155
  1991 to 1995,207655,103215,9080,1300,94060,19055,11815,5745,56955,490
  1996 to 2000,145695,77710,5360,775,61850,12820,7025,4560,37175,280
  2001 to 2005,206040,111265,14485,615,79675,13050,5780,5910,54595,335
  2006 to 2011,239685,111725,16070,1090,110795,18575,9970,8640,73120,485
