Period of const,Total - Structural type of dwelling,  Single-detached house,  Apartment in a building that has five or more storeys,  Other attached dwelling,    Semi-detached house,    Row house,    Apartment or flat in a duplex,    Apartment in a building that has fewer than five storeys,    Other single-attached house,  Movable dwelling
Total - Period of construction,3531660,1602675,187155,1718540,190050,93980,264055,1154940,15520,23295
  1920 or before,204420,89450,3230,111575,7925,5140,25245,70375,2890,170
  1921 to 1945,197305,67595,3955,125600,7535,2515,34105,79370,2070,145
  1946 to 1960,492770,205260,12330,274670,18070,4985,77845,170450,3325,510
  1961 to 1970,491450,199370,30445,259635,13190,7385,49490,187435,2135,2000
  1971 to 1980,625310,321770,36060,256270,31475,16465,27900,178700,1720,11215
  1981 to 1990,503495,246165,30525,222470,30030,14290,16060,160805,1290,4335
  1991 to 1995,214310,102700,9060,101305,19770,12395,6335,62330,475,1250
  1996 to 2000,154710,78570,7080,68400,12135,6810,5150,44005,300,665
  2001 to 2005,196830,106340,12375,77225,12285,5885,6575,52130,350,885
  2006 to 2010,241550,110885,17160,112625,19120,9605,8420,75090,390,875
  2011 to 2016,209515,74575,24935,108750,18505,8500,6925,74245,575,1250
