Period of const,Total - Structural type of dwelling,  Single-detached house,  Apartment in a building that has five or more storeys,  Other attached dwelling,    Apartment or flat in a duplex,    Apartment in a building that has fewer than five storeys,    Other single-attached house,    Row house,    Semi-detached house,  Movable dwelling
Total - Period of construction,3749035,1672095,225795,1827505,269410,1242980,15405,99205,200495,23640
  1920 or before,215130,90780,4810,119315,25230,78385,2540,5190,7970,235
  1921 to 1945,191220,65940,4070,121060,32370,76935,1845,2635,7275,155
  1946 to 1960,473025,202345,12235,257900,73795,158595,3185,4495,17830,545
  1961 to 1970,490395,202695,30185,255345,48730,183915,1875,7385,13430,2160
  1971 to 1980,624300,320995,35745,257275,29175,178785,1765,16050,31500,10290
  1981 to 1990,509125,248120,31815,225085,16825,162090,1220,14655,30290,4105
  1991 to 1995,219080,101885,10040,106010,7150,66765,550,12005,19530,1150
  1996 to 2000,166240,78840,8280,78265,5775,52885,410,7150,12045,850
  2001 to 2005,198590,104490,12595,80760,6530,56225,415,5740,11850,745
  2006 to 2010,231935,106985,16885,107035,7470,71955,355,9020,18240,1030
  2011 to 2015,212285,77370,24425,109465,7155,74495,510,8675,18625,1030
  2016 to 2021,217715,71655,34715,110000,9205,81955,745,6180,11910,1345
