,year,vintage,type,dwellings
0,1685,0-2025,total,1990
1,1685,0-2025,apartments,845
2,1685,0-2025,mobile,5
3,1685,0-2025,single_attached,136
4,1685,0-2025,single_detached,1004
5,1685,1608-1920,total,1990
6,1685,1608-1920,apartments,845
7,1685,1608-1920,mobile,5
8,1685,1608-1920,single_attached,136
9,1685,1608-1920,single_detached,1004
10,1685,1921-1945,total,0
11,1685,1921-1945,apartments,0
12,1685,1921-1945,mobile,0
13,1685,1921-1945,single_attached,0
14,1685,1921-1945,single_detached,0
15,1685,1946-1960,total,0
16,1685,1946-1960,apartments,0
17,1685,1946-1960,mobile,0
18,1685,1946-1960,single_attached,0
19,1685,1946-1960,single_detached,0
20,1685,1961-1970,total,0
21,1685,1961-1970,apartments,0
22,1685,1961-1970,mobile,0
23,1685,1961-1970,single_attached,0
24,1685,1961-1970,single_detached,0
25,1685,1971-1980,total,0
26,1685,1971-1980,apartments,0
27,1685,1971-1980,mobile,0
28,1685,1971-1980,single_attached,0
29,1685,1971-1980,single_detached,0
30,1685,1981-1990,total,0
31,1685,1981-1990,apartments,0
32,1685,1981-1990,mobile,0
33,1685,1981-1990,single_attached,0
34,1685,1981-1990,single_detached,0
35,1685,1991-1995,total,0
36,1685,1991-1995,apartments,0
37,1685,1991-1995,mobile,0
38,1685,1991-1995,single_attached,0
39,1685,1991-1995,single_detached,0
40,1685,1996-2000,total,0
41,1685,1996-2000,apartments,0
42,1685,1996-2000,mobile,0
43,1685,1996-2000,single_attached,0
44,1685,1996-2000,single_detached,0
45,1685,2001-2005,total,0
46,1685,2001-2005,apartments,0
47,1685,2001-2005,mobile,0
48,1685,2001-2005,single_attached,0
49,1685,2001-2005,single_detached,0
50,1685,2006-2010,total,0
51,1685,2006-2010,apartments,0
52,1685,2006-2010,mobile,0
53,1685,2006-2010,single_attached,0
54,1685,2006-2010,single_detached,0
55,1685,2011-2015,total,0
56,1685,2011-2015,apartments,0
57,1685,2011-2015,mobile,0
58,1685,2011-2015,single_attached,0
59,1685,2011-2015,single_detached,0
60,1685,2016-2020,total,0
61,1685,2016-2020,apartments,0
62,1685,2016-2020,mobile,0
63,1685,2016-2020,single_attached,0
64,1685,2016-2020,single_detached,0
65,1685,2021-2025,total,0
66,1685,2021-2025,apartments,0
67,1685,2021-2025,mobile,0
68,1685,2021-2025,single_attached,0
69,1685,2021-2025,single_detached,0
70,1688,0-2025,total,1877
71,1688,0-2025,apartments,797
72,1688,0-2025,mobile,5
73,1688,0-2025,single_attached,128
74,1688,0-2025,single_detached,947
75,1688,1608-1920,total,1877
76,1688,1608-1920,apartments,797
77,1688,1608-1920,mobile,5
78,1688,1608-1920,single_attached,128
79,1688,1608-1920,single_detached,947
80,1688,1921-1945,total,0
81,1688,1921-1945,apartments,0
82,1688,1921-1945,mobile,0
83,1688,1921-1945,single_attached,0
84,1688,1921-1945,single_detached,0
85,1688,1946-1960,total,0
86,1688,1946-1960,apartments,0
87,1688,1946-1960,mobile,0
88,1688,1946-1960,single_attached,0
89,1688,1946-1960,single_detached,0
90,1688,1961-1970,total,0
91,1688,1961-1970,apartments,0
92,1688,1961-1970,mobile,0
93,1688,1961-1970,single_attached,0
94,1688,1961-1970,single_detached,0
95,1688,1971-1980,total,0
96,1688,1971-1980,apartments,0
97,1688,1971-1980,mobile,0
98,1688,1971-1980,single_attached,0
99,1688,1971-1980,single_detached,0
100,1688,1981-1990,total,0
101,1688,1981-1990,apartments,0
102,1688,1981-1990,mobile,0
103,1688,1981-1990,single_attached,0
104,1688,1981-1990,single_detached,0
105,1688,1991-1995,total,0
106,1688,1991-1995,apartments,0
107,1688,1991-1995,mobile,0
108,1688,1991-1995,single_attached,0
109,1688,1991-1995,single_detached,0
110,1688,1996-2000,total,0
111,1688,1996-2000,apartments,0
112,1688,1996-2000,mobile,0
113,1688,1996-2000,single_attached,0
114,1688,1996-2000,single_detached,0
115,1688,2001-2005,total,0
116,1688,2001-2005,apartments,0
117,1688,2001-2005,mobile,0
118,1688,2001-2005,single_attached,0
119,1688,2001-2005,single_detached,0
120,1688,2006-2010,total,0
121,1688,2006-2010,apartments,0
122,1688,2006-2010,mobile,0
123,1688,2006-2010,single_attached,0
124,1688,2006-2010,single_detached,0
125,1688,2011-2015,total,0
126,1688,2011-2015,apartments,0
127,1688,2011-2015,mobile,0
128,1688,2011-2015,single_attached,0
129,1688,2011-2015,single_detached,0
130,1688,2016-2020,total,0
131,1688,2016-2020,apartments,0
132,1688,2016-2020,mobile,0
