year,vintage,type,dwellings
1991,total,total,2634300.0
1991,<1945,total,474795.0
1991,<1920,total,204285.0
1991,1921-1945,total,270510.0
1991,1946-1970,total,994930.0
1991,1946-1960,total,495950.0
1991,1961-1970,total,498975.0
1991,1971-1985,total,825455.0
1991,1971-1980,total,600180.0
1991,1981-1985,total,225270.0
1991,1986 +,total,339125.0
1991,1986-1990,total,328310.0
1991,1991(1),total,10820.0
1991,1981-1990,total,553580.0
1991,1991-1995,total,10820.0
1991,1996-2000,total,0.0
1991,2001-2005,total,0.0
1991,2006-2010,total,0.0
1991,2011-2015,total,0.0
1991,2016-2020,total,0.0
1991,2021-2025,total,0.0
2006,total,total,3189345.0
2006,<1920,total,210025.0
2006,1921-1945,total,230575.0
2006,1946-1960,total,538440.0
2006,1961-1970,total,494995.0
2006,1971-1980,total,610930.0
2006,1981-1985,total,255855.0
2006,1986-1990,total,276260.0
2006,1991-1995,total,213405.0
2006,1996-2000,total,142945.0
2006,2001-2005,total,199293.0
2006,2006-2010,total,16607.0
2006,1981-1990,total,532115.0
2006,2011-2015,total,0.0
2006,2016-2020,total,0.0
2006,2021-2025,total,0.0
2021,total,total,3749035.0
2021,<1920,total,215130.0
2021,1921-1945,total,191220.0
2021,1946-1960,total,473025.0
2021,1961-1970,total,490395.0
2021,1971-1980,total,624300.0
2021,1981-1990,total,509125.0
2021,1991-1995,total,219080.0
2021,1996-2000,total,166240.0
2021,2001-2005,total,198590.0
2021,2006-2010,total,231935.0
2021,2011-2015,total,212285.0
2021,2016-2020,total,200968.0
2021,2021-2025,total,16747.0
1961,total,total,1198368.0
1961,<1945,total,659505.0
1961,<1920,total,357568.0
1961,1921-1945,total,301937.0
1961,1946-1960,total,517929.0
1961,1946-1959,total,484486.0
1961,1960-1960,total,33443.0
1961,1961-1965,total,13934.0
1961,1961-1970,total,13934.0
1961,1971-1980,total,0.0
1961,1981-1990,total,0.0
1961,1991-1995,total,0.0
1961,1996-2000,total,0.0
1961,2001-2005,total,0.0
1961,2006-2010,total,0.0
1961,2011-2015,total,0.0
1961,2016-2020,total,0.0
1961,2021-2025,total,0.0
2016,total,total,3531660.0
2016,<1920,total,204420.0
2016,1921-1945,total,197305.0
2016,1946-1960,total,492770.0
2016,1961-1970,total,491450.0
2016,1971-1980,total,625310.0
2016,1981-1990,total,503495.0
2016,1991-1995,total,214310.0
2016,1996-2000,total,154710.0
2016,2001-2005,total,196830.0
2016,2006-2010,total,241550.0
2016,2011-2015,total,193399.0
2016,2016-2020,total,16116.0
2016,2021-2025,total,0.0
2011,total,total,3395220.0
2011,<1920,total,213270.0
2011,1921-1945,total,215635.0
2011,1946-1960,total,517985.0
2011,1961-1970,total,507745.0
2011,1971-1980,total,607710.0
2011,1981-1990,total,533790.0
2011,1991-1995,total,207655.0
2011,1996-2000,total,145695.0
2011,2001-2005,total,206040.0
2011,2006-2010,total,221248.0
2011,2011-2015,total,18437.0
2011,2016-2020,total,0.0
2011,2021-2025,total,0.0
1996,total,total,2822030.0
1996,<1945,total,458200.0
1996,<1920,total,200470.0
1996,1921-1945,total,257735.0
1996,1946-1970,total,1015760.0
1996,1946-1960,total,522165.0
1996,1961-1970,total,493595.0
1996,1971-1985,total,836495.0
1996,1971-1980,total,604805.0
1996,1981-1985,total,231690.0
1996,1986 +,total,511570.0
1996,1986-1990,total,298410.0
1996,1991-1995,total,208485.0
1996,1996(1),total,4675.0
1996,1981-1990,total,530100.0
1996,1996-2000,total,4675.0
1996,2001-2005,total,0.0
1996,2006-2010,total,0.0
1996,2011-2015,total,0.0
1996,2016-2020,total,0.0
1996,2021-2025,total,0.0
1971,total,total,1603685.0
1971,<1945,total,601660.0
1971,<1920,total,316030.0
1971,1921-1945,total,285630.0
1971,1946-1970,total,985195.0
1971,1946-1960,total,543550.0
1971,1961-1965,total,226985.0
1971,1966-1969,total,174280.0
1971,1970-1970,total,40380.0
1971,1971-1975,total,16825.0
1971,1961-1970,total,441645.0
1971,1971-1980,total,16825.0
1971,1981-1990,total,0.0
1971,1991-1995,total,0.0
1971,1996-2000,total,0.0
1971,2001-2005,total,0.0
1971,2006-2010,total,0.0
1971,2011-2015,total,0.0
1971,2016-2020,total,0.0
1971,2021-2025,total,0.0
1986,total,total,2357105.0
1986,<1945,total,504315.0
1986,<1920,total,223630.0
1986,1921-1945,total,280685.0
1986,1946-1970,total,976600.0
1986,1946-1960,total,506720.0
1986,1961-1970,total,469880.0
1986,1971-1985,total,860050.0
1986,1971-1975,total,337790.0
1986,1976-1980,total,309455.0
1986,1981-1985,total,212805.0
1986,1986 +,total,15965.0
1986,1986-1990,total,15965.0
1986,1986(1),total,15965.0
1986,1971-1980,total,647245.0
1986,1981-1990,total,228770.0
1986,1991-1995,total,0.0
1986,1996-2000,total,0.0
1986,2001-2005,total,0.0
1986,2006-2010,total,0.0
1986,2011-2015,total,0.0
1986,2016-2020,total,0.0
1986,2021-2025,total,0.0
1981,total,total,2172855.0
1981,<1945,total,533290.0
1981,<1920,total,
1981,1921-1945,total,
1981,1946-1970,total,998930.0
1981,1946-1960,total,518040.0
1981,1961-1970,total,480890.0
1981,1971-1980,total,615015.0
1981,1971-1975,total,
1981,1976-1980,total,
1981,1981-1985,total,25625.0
1981,1981-1990,total,25625.0
1981,1991-1995,total,0.0
1981,1996-2000,total,0.0
1981,2001-2005,total,0.0
1981,2006-2010,total,0.0
1981,2011-2015,total,0.0
1981,2016-2020,total,0.0
1981,2021-2025,total,0.0
2001,total,total,2978115.0
2001,<1945,total,450225.0
2001,<1920,total,
2001,1921-1945,total,
2001,1946-1970,total,1039590.0
2001,1946-1960,total,533870.0
2001,1961-1970,total,505720.0
2001,1971-1985,total,857680.0
2001,1971-1980,total,610275.0
2001,1981-1985,total,247405.0
2001,1986 +,total,630615.0
2001,1986-1990,total,283175.0
2001,1991-1995,total,207945.0
2001,1996-2000,total,128765.0
2001,2001-2005,total,10730.0
2001,1981-1990,total,530580.0
2001,2006-2010,total,0.0
2001,2011-2015,total,0.0
2001,2016-2020,total,0.0
2001,2021-2025,total,0.0
1991,total,single_detached,1174795.0
1991,<1945,single_detached,184310.0
1991,<1920,single_detached,96875.0
1991,1921-1945,single_detached,87435.0
1991,1946-1970,single_detached,402970.0
1991,1946-1960,single_detached,196440.0
1991,1961-1970,single_detached,206530.0
1991,1971-1985,single_detached,430270.0
1991,1971-1980,single_detached,321925.0
1991,1981-1985,single_detached,108345.0
1991,1986 +,single_detached,157245.0
1991,1986-1990,single_detached,152450.0
1991,1991(1),single_detached,4795.0
1991,1981-1990,single_detached,260795.0
1991,1991-1995,single_detached,4795.0
1991,1996-2000,single_detached,0.0
1991,2001-2005,single_detached,0.0
1991,2006-2010,single_detached,0.0
1991,2011-2015,single_detached,0.0
1991,2016-2020,single_detached,0.0
1991,2021-2025,single_detached,0.0
2006,total,single_detached,1458400.0
2006,<1920,single_detached,95160.0
2006,1921-1945,single_detached,73465.0
2006,1946-1960,single_detached,211040.0
2006,1961-1970,single_detached,201390.0
2006,1971-1980,single_detached,324100.0
2006,1981-1985,single_detached,114545.0
2006,1986-1990,single_detached,142035.0
2006,1991-1995,single_detached,104480.0
2006,1996-2000,single_detached,78660.0
2006,2001-2005,single_detached,104793.0
2006,2006-2010,single_detached,8732.0
2006,1981-1990,single_detached,256580.0
2006,2011-2015,single_detached,0.0
2006,2016-2020,single_detached,0.0
2006,2021-2025,single_detached,0.0
2021,total,single_detached,1672095.0
2021,<1920,single_detached,90780.0
2021,1921-1945,single_detached,65940.0
2021,1946-1960,single_detached,202345.0
2021,1961-1970,single_detached,202695.0
2021,1971-1980,single_detached,320995.0
2021,1981-1990,single_detached,248120.0
2021,1991-1995,single_detached,101885.0
2021,1996-2000,single_detached,78840.0
2021,2001-2005,single_detached,104490.0
2021,2006-2010,single_detached,106985.0
2021,2011-2015,single_detached,77370.0
2021,2016-2020,single_detached,66144.0
2021,2021-2025,single_detached,5511.0
1961,total,single_detached,467716.0
1961,<1945,single_detached,233549.0
1961,<1920,single_detached,132101.0
1961,1921-1945,single_detached,101448.0
1961,1946-1960,single_detached,227429.0
1961,1946-1959,single_detached,211256.0
1961,1960-1960,single_detached,16173.0
1961,1961-1965,single_detached,6738.0
1961,1961-1970,single_detached,6738.0
1961,1971-1980,single_detached,0.0
1961,1981-1990,single_detached,0.0
1961,1991-1995,single_detached,0.0
1961,1996-2000,single_detached,0.0
1961,2001-2005,single_detached,0.0
1961,2006-2010,single_detached,0.0
1961,2011-2015,single_detached,0.0
1961,2016-2020,single_detached,0.0
1961,2021-2025,single_detached,0.0
2016,total,single_detached,1602675.0
2016,<1920,single_detached,89450.0
2016,1921-1945,single_detached,67595.0
2016,1946-1960,single_detached,205260.0
2016,1961-1970,single_detached,199370.0
2016,1971-1980,single_detached,321770.0
2016,1981-1990,single_detached,246165.0
2016,1991-1995,single_detached,102700.0
2016,1996-2000,single_detached,78570.0
2016,2001-2005,single_detached,106340.0
2016,2006-2010,single_detached,110885.0
2016,2011-2015,single_detached,68839.0
2016,2016-2020,single_detached,5736.0
2016,2021-2025,single_detached,0.0
2011,total,single_detached,1560350.0
2011,<1920,single_detached,96820.0
2011,1921-1945,single_detached,69650.0
2011,1946-1960,single_detached,207310.0
2011,1961-1970,single_detached,202335.0
2011,1971-1980,single_detached,323640.0
2011,1981-1990,single_detached,256675.0
2011,1991-1995,single_detached,103215.0
2011,1996-2000,single_detached,77710.0
2011,2001-2005,single_detached,111265.0
2011,2006-2010,single_detached,103131.0
2011,2011-2015,single_detached,8594.0
2011,2016-2020,single_detached,0.0
2011,2021-2025,single_detached,0.0
1996,total,single_detached,1272605.0
1996,<1945,single_detached,179220.0
1996,<1920,single_detached,96770.0
1996,1921-1945,single_detached,82440.0
1996,1946-1970,single_detached,408125.0
1996,1946-1960,single_detached,204805.0
1996,1961-1970,single_detached,203315.0
1996,1971-1985,single_detached,434960.0
1996,1971-1980,single_detached,324355.0
1996,1981-1985,single_detached,110600.0
1996,1986 +,single_detached,250305.0
1996,1986-1990,single_detached,145360.0
1996,1991-1995,single_detached,102520.0
1996,1996(1),single_detached,2420.0
1996,1981-1990,single_detached,255960.0
1996,1996-2000,single_detached,2420.0
1996,2001-2005,single_detached,0.0
1996,2006-2010,single_detached,0.0
1996,2011-2015,single_detached,0.0
1996,2016-2020,single_detached,0.0
1996,2021-2025,single_detached,0.0
1971,total,single_detached,640520.0
1971,<1945,single_detached,220475.0
1971,<1920,single_detached,127815.0
1971,1921-1945,single_detached,92660.0
1971,1946-1970,single_detached,413969.0
1971,1946-1960,single_detached,234420.0
1971,1961-1965,single_detached,103855.0
1971,1966-1969,single_detached,61110.0
1971,1970-1970,single_detached,14584.0
1971,1971-1975,single_detached,6076.0
1971,1961-1970,single_detached,179549.0
1971,1971-1980,single_detached,6076.0
1971,1981-1990,single_detached,0.0
1971,1991-1995,single_detached,0.0
1971,1996-2000,single_detached,0.0
1971,2001-2005,single_detached,0.0
1971,2006-2010,single_detached,0.0
1971,2011-2015,single_detached,0.0
1971,2016-2020,single_detached,0.0
1971,2021-2025,single_detached,0.0
1986,total,single_detached,1032230.0
1986,<1945,single_detached,188630.0
1986,<1920,single_detached,103055.0
1986,1921-1945,single_detached,85575.0
1986,1946-1970,single_detached,400305.0
1986,1946-1960,single_detached,201540.0
1986,1961-1970,single_detached,198765.0
1986,1971-1985,single_detached,434755.0
1986,1971-1975,single_detached,159365.0
1986,1976-1980,single_detached,171025.0
1986,1981-1985,single_detached,104365.0
1986,1986 +,single_detached,6535.0
1986,1986-1990,single_detached,6535.0
1986,1986(1),single_detached,6535.0
1986,1971-1980,single_detached,330390.0
1986,1981-1990,single_detached,110900.0
1986,1991-1995,single_detached,0.0
1986,1996-2000,single_detached,0.0
1986,2001-2005,single_detached,0.0
1986,2006-2010,single_detached,0.0
1986,2011-2015,single_detached,0.0
1986,2016-2020,single_detached,0.0
1986,2021-2025,single_detached,0.0
1981,total,single_detached,954455.0
1981,<1945,single_detached,
1981,<1920,single_detached,
1981,1921-1945,single_detached,
1981,1946-1970,single_detached,0.0
1981,1946-1960,single_detached,
1981,1961-1970,single_detached,
1981,1971-1980,single_detached,
1981,1971-1975,single_detached,
1981,1976-1980,single_detached,
1981,1981-1985,single_detached,
1981,1981-1990,single_detached,0.0
1981,1991-1995,single_detached,0.0
1981,1996-2000,single_detached,0.0
1981,2001-2005,single_detached,0.0
1981,2006-2010,single_detached,0.0
1981,2011-2015,single_detached,0.0
1981,2016-2020,single_detached,0.0
1981,2021-2025,single_detached,0.0
2001,total,single_detached,1371005.0
2001,<1945,single_detached,
2001,<1920,single_detached,
2001,1921-1945,single_detached,
2001,1946-1970,single_detached,0.0
2001,1946-1960,single_detached,
2001,1961-1970,single_detached,
2001,1971-1985,single_detached,0.0
2001,1971-1980,single_detached,
2001,1981-1985,single_detached,
2001,1986 +,single_detached,0.0
2001,1986-1990,single_detached,
2001,1991-1995,single_detached,
2001,1996-2000,single_detached,
2001,2001-2005,single_detached,
2001,1981-1990,single_detached,0.0
2001,2006-2010,single_detached,0.0
2001,2011-2015,single_detached,0.0
2001,2016-2020,single_detached,0.0
2001,2021-2025,single_detached,0.0
1991,total,single_attached,197565.0
1991,<1945,single_attached,
1991,<1920,single_attached,
1991,1921-1945,single_attached,
1991,1946-1970,single_attached,
1991,1946-1960,single_attached,
1991,1961-1970,single_attached,
1991,1971-1985,single_attached,
1991,1971-1980,single_attached,
1991,1981-1985,single_attached,
1991,1986 +,single_attached,
1991,1986-1990,single_attached,
1991,1991(1),single_attached,
1991,1981-1990,single_attached,0.0
1991,1991-1995,single_attached,0.0
1991,1996-2000,single_attached,0.0
1991,2001-2005,single_attached,0.0
1991,2006-2010,single_attached,0.0
1991,2011-2015,single_attached,0.0
1991,2016-2020,single_attached,0.0
1991,2021-2025,single_attached,0.0
2006,total,single_attached,247945.0
2006,<1920,single_attached,15905.0
2006,1921-1945,single_attached,13580.0
2006,1946-1960,single_attached,27545.0
2006,1961-1970,single_attached,23155.0
2006,1971-1980,single_attached,48620.0
