Single Attached Housing Stock (thousands);2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total;236,3;238,4;240,9;244;247,7;253,8;260,4;266,4;272,7;279,4;285,4;291,2;296,6;301,1;305,2;309,2;313,3;318,1;322,9;327,6;332,4
Before 1946;22,9;22,7;22,6;22,4;22,2;22,1;22;21,8;21,7;21,5;21,4;21,2;21,1;20,9;20,8;20,6;20,5;20,3;20,2;20;19,9
1946–1960;14,8;14,7;14,6;14,4;14,3;14,2;14,2;14,1;14;13,9;13,8;13,7;13,6;13,4;13,3;13,2;13,1;13;12,9;12,8;12,7
1961–1977;27,4;27,3;27,1;26,9;26,8;26,6;26,5;26,4;26,2;26,1;25,9;25,7;25,6;25,4;25,3;25,1;25;24,8;24,6;24,5;24,3
1978–1983;42,9;42,6;42,4;42,2;42;41,8;41,7;41,5;41,3;41,1;40,9;40,7;40,5;40,3;40,1;39,9;39,7;39,5;39,3;39,1;38,9
1984–1995;94,8;94,5;94,2;94;93,7;93,4;93,2;92,9;92,7;92,4;92,1;91,9;91,6;91,3;91;90,7;90,4;90,2;89,9;89,6;89,3
1996–2000;33,5;33,5;33,4;33,4;33,4;33,3;33,3;33,2;33,2;33,2;33,1;33,1;33,1;33;33;32,9;32,9;32,8;32,8;32,8;32,7
2001–2005;0;3,1;6,6;10,7;15,3;22,2;22,2;22,2;22,2;22,2;22,2;22,2;22,2;22,2;22,1;22,1;22,1;22,1;22,1;22,1;22,1
2006–2010;0;0;0;0;0;0;7,4;14,2;21,5;29;36;36;36;36;35,9;35,9;35,9;35,9;35,9;35,9;35,9
2011–2015;0;0;0;0;0;0;0;0;0;0;0;6,8;13,1;18,5;23,7;28,6;28,6;28,6;28,6;28,6;28,6
2016–2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,1;10,8;16,5;22,1;27,9
