Single Detached Housing Stock (thousands);2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total;1442,3;1457;1479,3;1503,2;1530;1551,2;1571,4;1591,6;1609,2;1624,2;1641,1;1654,9;1669;1680,5;1690;1697,8;1705,3;1712,9;1720;1726,4;1733,1
Before 1946;247,1;245,3;243,6;241,8;240,1;238,4;236,7;235;233,3;231,6;229,9;228,2;226,6;225;223,3;221,7;220,1;218,5;216,9;215,3;213,7
1946–1960;159,4;158,2;157;155,8;154,6;153,4;152,2;151,1;149,9;148,8;147,6;146,5;145,3;144,2;143,1;142;140,9;139,8;138,7;137,6;136,5
1961–1977;297,3;295,5;293,7;291,9;290,1;288,3;286,5;284,8;283;281,3;279,5;277,8;276,1;274,4;272,6;270,9;269,3;267,6;265,9;264,2;262,6
1978–1983;196,8;195,8;194,9;193,9;193;192;191,1;190,1;189,2;188,3;187,3;186,4;185,5;184,6;183,6;182,7;181,8;180,9;180;179,1;178,2
1984–1995;414,8;413,5;412,2;411;409,7;408,4;407,2;405,9;404,7;403,4;402,2;400,9;399,7;398,4;397,2;396;394,7;393,5;392,3;391;389,8
1996–2000;126,9;126,7;126,6;126,4;126,3;126,1;126;125,8;125,7;125,5;125,3;125,2;125;124,9;124,7;124,6;124,4;124,3;124,1;123,9;123,8
2001–2005;0;21,9;51,3;82,4;116,2;144,5;144,4;144,4;144,3;144,3;144,2;144,2;144,2;144,1;144,1;144;144;143,9;143,9;143,8;143,8
2006–2010;0;0;0;0;0;0;27,3;54,5;79,1;101;124,9;124,9;124,9;124,9;124,9;124,9;124,9;124,9;124,9;124,8;124,8
2011–2015;0;0;0;0;0;0;0;0;0;0;0;20,8;41,7;60,1;76,4;91;91;91;91;91;91
2016–2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,3;28,6;42,4;55,5;68,8
