Apartments Housing Stock (thousands);2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total;1428,3;1435,8;1445,4;1461,4;1481,4;1503,9;1526,4;1548,9;1572,0;1592,9;1613,6;1635,9;1658,9;1680,5;1703,7;1722,9;1746,1;1770,7;1797,9;1827,2;1858,6
Before 1946;324,5;322,2;320,0;317,7;315,5;313,2;311,0;308,8;306,6;304,4;302,3;300,1;298,0;295,9;293,8;291,7;289,6;287,5;285,4;283,4;281,3
1946–1960;208,9;207,3;205,8;204,2;202,7;201,2;199,6;198,1;196,6;195,1;193,6;192,2;190,7;189,3;187,8;186,4;185,0;183,5;182,1;180,7;179,3
1961–1977;392,4;390,0;387,7;385,3;383,0;380,7;378,4;376,1;373,8;371,5;369,2;367,0;364,7;362,5;360,3;358,1;355,9;353,7;351,5;349,4;347,2
1978–1983;113,5;113,0;112,4;111,9;111,3;110,8;110,3;109,7;109,2;108,7;108,1;107,6;107,1;106,5;106,0;105,5;105,0;104,5;104,0;103,4;102,9
1984–1995;312,7;311,7;310,8;309,8;308,9;308,0;307,0;306,1;305,2;304,2;303,3;302,4;301,4;300,5;299,6;298,7;297,8;296,9;295,9;295,0;294,1
1996–2000;76,3;76,2;76,1;76,0;75,9;75,8;75,7;75,6;75,5;75,4;75,3;75,2;75,1;75,1;75,0;74,9;74,8;74,7;74,6;74,5;74,4
2001–2005;0,0;15,4;32,8;56,5;84,2;114,3;114,3;114,3;114,2;114,2;114,2;114,1;114,1;114,1;114,0;114,0;113,9;113,9;113,9;113,8;113,8
2006–2010;0,0;0,0;0,0;0,0;0,0;0,0;30,1;60,3;90,9;119,4;147,6;147,6;147,6;147,6;147,5;147,5;147,5;147,5;147,5;147,5;147,5
2011–2015;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;29,8;60,2;89,1;119,7;146,2;146,2;146,2;146,2;146,2;146,2
2016–2020;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;30,4;62,3;96,7;133,2;171,7
