Mobile Homes Housing Stock (thousands);2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total;40,4;40,3;40,5;40,8;41,3;41,6;42,0;42,4;42,8;43,2;43,6;43,9;44,2;44,4;44,6;44,8;44,9;45,1;45,2;45,3;45,4
Before 1946;8,4;8,3;8,2;8,1;8,0;8,0;7,9;7,9;7,8;7,7;7,7;7,6;7,6;7,5;7,5;7,4;7,4;7,3;7,3;7,2;7,1
1946–1960;5,4;5,3;5,2;5,1;5,1;5,0;5,0;5,0;4,9;4,9;4,9;4,8;4,8;4,7;4,7;4,7;4,6;4,6;4,6;4,5;4,5
1961–1977;10,5;10,3;10,2;10,1;10,0;10,0;9,9;9,9;9,8;9,7;9,7;9,6;9,6;9,5;9,4;9,4;9,3;9,3;9,2;9,2;9,1
1978–1983;5,9;5,8;5,7;5,7;5,7;5,6;5,6;5,6;5,6;5,5;5,5;5,5;5,4;5,4;5,4;5,4;5,3;5,3;5,3;5,3;5,2
1984–1995;8,2;8,2;8,1;8,1;8,1;8,0;8,0;8,0;8,0;7,9;7,9;7,9;7,9;7,8;7,8;7,8;7,8;7,7;7,7;7,7;7,7
1996–2000;2,1;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0
2001–2005;0,0;0,4;1,0;1,6;2,3;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9
2006–2010;0,0;0,0;0,0;0,0;0,0;0,0;0,6;1,3;1,9;2,5;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1
2011–2015;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;1,0;1,5;1,9;2,2;2,2;2,2;2,2;2,2;2,2
2016–2020;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,7;1,0;1,4;1,7
