Single Attached Floor Space (million m2);2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
subtotal;26,7;27,1;27,5;28,0;28,5;29,4;30,5;31,4;32,4;33,4;34,4;35,4;36,0;36,5;36,8;37,0;37,7;38,6;39,5;40,3;41,2
<1946;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,5;2,5;2,5;2,5;2,5;2,4;2,4;2,3;2,3;2,3;2,3;2,2;2,2;2,2
1946–1960;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,4;1,4;1,5;1,6;1,6;1,6;1,5;1,5;1,5
1961–1977;2,8;2,8;2,8;2,8;2,8;2,8;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,8;2,9;2,9;2,9;2,9;2,9;2,8;2,8
1978–1983;4,5;4,5;4,5;4,4;4,4;4,4;4,4;4,4;4,3;4,3;4,3;4,3;4,4;4,5;4,7;4,8;4,8;4,7;4,7;4,7;4,7
1984–1995;11,1;11,0;11,0;11,0;10,9;10,9;10,9;10,9;10,8;10,8;10,8;10,7;10,7;10,7;10,7;10,7;10,7;10,6;10,6;10,6;10,5
1996–2000;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,3;4,2;4,1;4,0;4,0;4,0;4,0;4,0;4,0
2001–2005;0,0;0,4;0,9;1,5;2,2;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,0;2,9;2,8;2,7;2,7;2,7;2,7;2,7;2,7
2006–2010;0,0;0,0;0,0;0,0;0,0;0,0;1,1;2,1;3,2;4,4;5,4;5,4;5,1;4,8;4,5;4,2;4,2;4,2;4,2;4,2;4,2
2011–2015;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;2,0;2,7;3,3;3,8;3,8;3,8;3,8;3,8;3,8
2016–2020;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;1,9;2,8;3,8;4,8
