Single Detached Floor Space by vintage (million m2);2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
subtotal;183,3;186,3;190,6;195,1;200,1;204,3;208,5;212,8;216,6;219,9;223,6;227,0;231,9;236,1;239,9;243,3;245,2;247,1;248,9;250,6;252,3
<1946;33,6;33,5;33,3;33,2;33,2;33,1;33,1;33,1;33,0;33,0;32,9;32,9;34,1;35,3;36,4;37,6;37,3;37,0;36,8;36,5;36,2
1946–1960;18,8;18,8;18,7;18,7;18,7;18,7;18,6;18,6;18,6;18,5;18,5;18,4;18,7;18,9;19,1;19,3;19,1;19,0;18,8;18,7;18,5
1961–1977;33,5;33,5;33,4;33,4;33,3;33,2;33,2;33,1;33,1;33,0;32,9;32,9;32,9;32,9;32,9;32,9;32,7;32,5;32,3;32,1;31,9
1978–1983;25,0;24,9;24,8;24,6;24,5;24,4;24,3;24,2;24,0;23,9;23,8;23,7;24,4;25,0;25,7;26,3;26,2;26,0;25,9;25,8;25,7
1984–1995;53,2;53,0;52,8;52,7;52,5;52,4;52,2;52,0;51,9;51,7;51,6;51,4;51,3;51,3;51,2;51,2;51,0;50,9;50,7;50,6;50,4
1996–2000;19,2;19,2;19,1;19,1;19,1;19,1;19,1;19,0;19,0;19,0;19,0;18,9;18,7;18,5;18,3;18,1;18,1;18,0;18,0;18,0;18,0
2001–2005;0,0;3,5;8,3;13,3;18,8;23,4;23,4;23,4;23,4;23,3;23,3;23,3;23,2;23,1;23,0;22,9;22,9;22,9;22,9;22,9;22,9
2006–2010;0,0;0,0;0,0;0,0;0,0;0,0;4,7;9,4;13,7;17,5;21,6;21,6;20,9;20,2;19,5;18,8;18,8;18,8;18,8;18,8;18,8
2011–2015;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,8;7,7;10,9;13,8;16,2;16,2;16,2;16,2;16,2;16,2
2016–2020;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,8;5,7;8,4;11,0;13,6

