Apartments Floor Space (million m2);2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
subtotal;122,5;123,9;125,6;127,9;130,6;133,5;136,7;139,9;143,1;146,0;149,0;152,3;155,7;158,9;162,4;165,3;168,6;172,1;176,0;180,1;184,6
<1946;29,8;29,8;29,7;29,7;29,7;29,6;29,6;29,5;29,5;29,5;29,4;29,4;29,4;29,3;29,3;29,3;29,0;28,8;28,6;28,4;28,2
1946–1960;17,7;17,7;17,7;17,7;17,7;17,6;17,6;17,6;17,5;17,5;17,5;17,4;17,4;17,4;17,4;17,3;17,2;17,1;16,9;16,8;16,7
1961–1977;29,3;29,3;29,3;29,3;29,2;29,1;29,0;29,0;28,9;28,8;28,7;28,6;28,4;28,3;28,1;27,9;27,8;27,6;27,4;27,2;27,1
1978–1983;9,3;9,3;9,2;9,2;9,1;9,1;9,1;9,0;9,0;8,9;8,9;8,8;8,8;8,9;8,9;8,9;8,8;8,8;8,7;8,7;8,7
1984–1995;28,7;28,6;28,5;28,4;28,3;28,2;28,2;28,1;28,0;27,9;27,8;27,7;27,6;27,6;27,5;27,4;27,3;27,2;27,1;27,1;27,0
1996–2000;7,6;7,6;7,6;7,6;7,6;7,6;7,6;7,6;7,6;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,4
2001–2005;0,0;1,6;3,5;6,0;9,0;12,2;12,2;12,2;12,2;12,2;12,2;12,2;12,2;12,2;12,2;12,2;12,2;12,2;12,2;12,2;12,2
2006–2010;0,0;0,0;0,0;0,0;0,0;0,0;3,5;6,9;10,4;13,7;16,9;16,9;16,9;16,9;16,9;16,9;16,9;16,9;16,9;16,9;16,9
2011–2015;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,6;7,4;10,9;14,7;17,9;17,9;17,9;17,9;17,9;17,9
2016–2020;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;8,2;12,7;17,5;22,5
