 Mobile Homes Floor Space (million m2);2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
subtotal;3,6;3,6;3,6;3,7;3,7;3,8;3,8;3,9;3,9;4,0;4,0;4,0;4,1;4,1;4,2;4,2;4,2;4,3;4,3;4,3;4,3
<1946;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7
1946–1960;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3
1961–1977;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8
1978–1983;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,5;0,5;0,5;0,5;0,5
1984–1995;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8
1996–2000;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
2001–2005;0,0;0,0;0,1;0,2;0,2;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3
2006–2010;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,2;0,2;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3
2011–2015;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
2016–2020;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,2;0,2
