,census_year,vintage,type,dwellings,is_orig
0,2021,1608-2025,total,3749035.0,True
335,2016,1608-2025,total,3531660.0,True
440,2011,1608-2025,total,3395220.0,True
671,2006,1608-2025,total,3189345.0,True
839,2001,1608-2025,total,2978115.0,True
963,1996,1608-2025,total,2822030.0,True
1008,1991,1608-2025,total,2634300.0,True
1179,1986,1608-2025,total,2357105.0,True
1344,1981,1608-2025,total,2172860.0,True
1512,1976,1608-2025,total,1894111.0,True
1695,1971,1608-2025,total,1603685.0,True
1855,1966,1608-2025,total,1389115.0,True
2016,1961,1608-2025,total,1191368.0,True
2191,1956,1608-2025,total,1001264.0,True
2352,1951,1608-2025,total,862599.0,True
2520,1941,1608-2025,total,644529.0,True
2703,1931,1608-2025,total,536383.0,True
2962,1921,1608-2025,total,398267.0,True
3167,1911,1608-2025,total,340196.0,True
3348,1901,1608-2025,total,291427.0,True
3367,1891,1608-2025,total,246644.0,True
3544,1881,1608-2025,total,216432.0,True
3703,1871,1608-2025,total,180115.0,True
3904,1861,1608-2025,total,155088.0,True
4032,1851,1608-2025,total,121961.0,True
4239,1844,1608-2025,total,108749.0,True
4375,1831,1608-2025,total,82437.0,True
4536,1784,1608-2025,total,18924.0,True
4704,1765,1608-2025,total,12230.0,True
4887,1698,1608-2025,total,2310.0,True
5040,1695,1608-2025,total,1934.0,True
5223,1692,1608-2025,total,1929.0,True
5383,1688,1608-2025,total,1877.0,True
5544,1685,1608-2025,total,1990.0,True
