Scénario;Code;Région;Année;Sexe;TOTAL
 Référence A2022;0;Le Québec;2021;3;8604495
 Référence A2022;0;Le Québec;2022;3;8693503
 Référence A2022;0;Le Québec;2023;3;8773426
 Référence A2022;0;Le Québec;2024;3;8840285
 Référence A2022;0;Le Québec;2025;3;8901035
 Référence A2022;0;Le Québec;2026;3;8952555
 Référence A2022;0;Le Québec;2027;3;8999092
 Référence A2022;0;Le Québec;2028;3;9043858
 Référence A2022;0;Le Québec;2029;3;9086831
 Référence A2022;0;Le Québec;2030;3;9128027
 Référence A2022;0;Le Québec;2031;3;9167487
 Référence A2022;0;Le Québec;2032;3;9205281
 Référence A2022;0;Le Québec;2033;3;9241488
 Référence A2022;0;Le Québec;2034;3;9276254
 Référence A2022;0;Le Québec;2035;3;9309714
 Référence A2022;0;Le Québec;2036;3;9341994
 Référence A2022;0;Le Québec;2037;3;9373226
 Référence A2022;0;Le Québec;2038;3;9403516
 Référence A2022;0;Le Québec;2039;3;9432934
 Référence A2022;0;Le Québec;2040;3;9461542
 Référence A2022;0;Le Québec;2041;3;9489377
 Référence A2022;0;Le Québec;2042;3;9516453
 Référence A2022;0;Le Québec;2043;3;9542777
 Référence A2022;0;Le Québec;2044;3;9568341
 Référence A2022;0;Le Québec;2045;3;9593154
 Référence A2022;0;Le Québec;2046;3;9617222
 Référence A2022;0;Le Québec;2047;3;9640563
 Référence A2022;0;Le Québec;2048;3;9663240
 Référence A2022;0;Le Québec;2049;3;9685323
 Référence A2022;0;Le Québec;2050;3;9706908
 Référence A2022;0;Le Québec;2051;3;9728109
 Référence A2022;0;Le Québec;2052;3;9749039
 Référence A2022;0;Le Québec;2053;3;9769808
 Référence A2022;0;Le Québec;2054;3;9790535
 Référence A2022;0;Le Québec;2055;3;9811322
 Référence A2022;0;Le Québec;2056;3;9832253
 Référence A2022;0;Le Québec;2057;3;9853407
 Référence A2022;0;Le Québec;2058;3;9874849
 Référence A2022;0;Le Québec;2059;3;9896638
 Référence A2022;0;Le Québec;2060;3;9918805
 Référence A2022;0;Le Québec;2061;3;9941384
 Référence A2022;0;Le Québec;2062;3;9964373
 Référence A2022;0;Le Québec;2063;3;9987752
 Référence A2022;0;Le Québec;2064;3;10011500
 Référence A2022;0;Le Québec;2065;3;10035554
 Référence A2022;0;Le Québec;2066;3;10059882
