RP;24
CD;0
CSD;0
CSDTYPE; 
CCS;0
CMACA;0
CMASEL; 
PCMACA;0
GEONAME;QUEBEC - QUEBEC
total occupied private dwellings - total private households;2357105
total occupied private dwellings - 1 person households;510550
total occupied private dwellings - 2 persons;705225
total occupied private dwellings - 3 persons;450160
total occupied private dwellings - 4 persons;443015
total occupied private dwellings - 5 persons;176480
total occupied private dwellings - 6 persons;51220
total occupied private dwellings - 7 persons;12580
total occupied private dwellings - 8 persons;4390
total occupied private dwellings - 9 persons;1740
total occupied private dwellings - 10+ persons;1750
total occupied private dwellings - total persons in households;6391435
total occupied private dwellings - average persons in households;2.7
single-detached house - total private households;1032605
single-detached house - 1 person households;90725
single-detached house - 2 person households;266660
single-detached house - 3 person households;226325
single-detached house - 4 person households;279930
single-detached house - 5 person households;119890
single-detached house - 6 person households;35080
single-detached house - 7 person households;8595
single-detached house - 8 person households;2955
single-detached house - 9 person households;1195
single-detached house - 10+ person households;1255
single-detached house - total persons in households;3341140
single-detached house - average persons in households;3.2
apartment five or more storeys - total private households;116110
apartment five or more storeys - 1 person households;66180
apartment five or more storeys - 2 person households;37610
apartment five or more storeys - 3 person households;7890
apartment five or more storeys - 4 person households;3215
apartment five or more storeys - 5 person households;855
apartment five or more storeys - 6 person households;295
apartment five or more storeys - 7 person households;50
apartment five or more storeys - 8 person households;10
apartment five or more storeys - 9 person households;5
apartment five or more storeys - 10+ person households;0
apartment five or more storeys - total persons in households;184440
apartment five or more storeys - average persons in households;1.59
movable dwelling - total private households;16930
movable dwelling - 1 person households;2595
movable dwelling - 2 person households;5385
movable dwelling - 3 person households;3865
movable dwelling - 4 person households;3725
movable dwelling - 5 person households;1085
movable dwelling - 6 person households;220
movable dwelling - 7 person households;40
movable dwelling - 8 person households;15
movable dwelling - 9 person households;5
movable dwelling - 10+ person households;5
movable dwelling - total persons in households;47070
movable dwelling - average persons in households;2.79
other dwelling - total private households;1191455
other dwelling - 1 person households;351050
other dwelling - 2 person households;395570
other dwelling - 3 person households;212080
other dwelling - 4 person households;156145
other dwelling - 5 person households;54650
other dwelling - 6 person households;15625
other dwelling - 7 person households;3900
other dwelling - 8 person households;1410
other dwelling - 9 person households;540
other dwelling - 10+ person households;495
other dwelling - total persons in households;2818780
other dwelling - average persons in households;2.39
