Census year,"Population, count","Private dwellings occupied by usual residents, count"
1851,890259.0,121961.0
1861,1111566.0,155088.0
1871,1191516.0,180115.0
1881,1359027.0,216112.0
1891,1488535.0,244540.0
1901,1648898.0,291429.0
1911,2005776.0,340196.0
1921,2361199.0,398384.0
1931,2874255.0,530070.0
1941,3331882.0,644579.0
1951,4055681.0,858784.0
1956,4628378.0,1001264.0
1961,5259211.0,1191368.0
1966,5780845.0,1389115.0
1971,6027764.0,1604785.0
1976,6234445.0,1894111.0
1981,6438403.0,2172858.0
1986,6532461.0,2357104.0
1991,6895963.0,2634301.0
1996,7138795.0,2822030.0
2001,7237479.0,2978112.0
2006,7546131.0,3188713.0
2011,7903001.0,3395343.0
2016,8164361.0,3531663.0
2021,8501833.0,3749035.0
